المقرر,المتطلب 
عربي-174,عربي173
عربي-301,-
عمار-011,-
عمار-012,مدرع002
عمار-013,-
عمار-021,مرسم003
عمار-022,-
عمار-023,عمار021
عمار-024,مدرع004
عمار-032,عمار012
عمار-033,-
عمار-034,عمار024
عمار-042,عمار022
عمار-065,-
عمار-066,-
عمار-067,-
عمار-091,-
عمار-098,-
غذاء-111,-
غذاء-112,غذاء131
غذاء-121,-
غذاء-123,غذاء111
غذاء-131,-
غذاء-161,-
غذاء-201,-
غذاء-222,غذاء131
غذاء-241,غذاء112
غذاء-242,غذاء112
غذاء-243,غذاء241
غذاء-244,غذاء241
غذاء-251,-
غذاء-262,غذاء161
غذاء-263,غذاء161
غذاء-271,غذاء121
غذاء-281,غذاء123
غذاء-288,جميع مقررات الخطة
غذاء-299,جميع مقررات الخطة
فعال-101,-
فعال-102,-
فعال-121,-
فعال-211,فعال101
فعال-212,فعال101
فعال-222,-
فعال-223,فعال101
فعال-231,سافر101
فعال-232,فعال231
فعال-233,فعال101
فعال-288,جميع مقررات الخطة
فعال-299,جميع مقررات الخطة
فندق-101,-
فندق-111,-
فندق-121,-
فندق-222,فندق121
فندق-231,-
فندق-241,حاسب101
فندق-242,فندق241
فندق-251,-
فندق-252,-
فندق-271,-
فندق-288,جميع مقررات الخطة
فندق-299,جميع مقررات الخطة
فندق-321,-
فندق-322,فندق321
فندق-325,فندق321
فندق-331,-
فندق-361,-
فندق-432,فندق331
فندق-441,-
فندق-445,-
فندق-451,-
فندق-465,فندق321
فندق-467,فندق321
فندق-471,-
فندق-475,-
فندق-477,-
فندق-481,-
فندق-491,ادار392
فيزي-001,-
فيزي-101,-
فيزي-121,فيزي101
فيزي-301,-
فيزي-361,فيزي301
قنون-301,-
قنون-303,قنون301
كساء-101,-
كساء-104,-
كساء-105,كساء113
كساء-111,-
كساء-113,-
كساء-131,-
كساء-151, كساء104 كساء113 
كساء-215,كساء104
كساء-222,-
كساء-226, حاسب102 كساء215 
كساء-235,كساء113
كساء-241, كساء111 كساء113 
كساء-243, كساء111 كساء113 
كساء-245,كساء241
كساء-247, كساء111 كساء113 
كساء-251,كساء151
كساء-255, كساء251 كساء235 
كساء-271, كساء111 كساء105 
كساء-274,-
كساء-281,-
كساء-288,جميع مقررات الخطة
كساء-299,جميع مقررات الخطة
كهرآ-234,كهرب232
كهرآ-242,كهرب224
كهرآ-245,كهرب232
كهرآ-254,كهرب111
كهرآ-266,كهرب232
كهرآ-271,كهرب122
كهرآ-272,كهرب122
كهرآ-288,جميع مقررات الخطة
كهرآ-299,جميع مقررات الخطة
كهرب-011,-
كهرب-012,-
كهرب-013,-
كهرب-014,حاكر012
كهرب-101,-
كهرب-102,-
كهرب-111,-
كهرب-121,-
كهرب-122,كهرب121 اجدق111
كهرب-123,كهرب121
كهرب-131,كهرب121
كهرب-141,-
كهرب-224,كهرب122
كهرب-232, كهرب122 كهرب131 
كهرب-242,كهرب122
كهرب-244, كهرب141 كهرب232 
كهرب-311,كهرب322
كهرب-321,-
كهرب-322,-
كهرب-323,كهرب321
كهرب-330,-
كهرب-332,-
كهرب-334,-
كهرب-335,-
كهرب-336,كهرب466
كهرب-361,-
كهرب-412,كهرب322
كهرب-421,كهرب322
كهرب-422,-
كهرب-423,-
كهرب-437,كهرب332
كهرب-442,كهرب321
كهرب-443,كهرب466
كهرب-444, كهرب330 كهرب332 كهرب421 
كهرب-445,كهرب332
كهرب-462,كهرب466
كهرب-463,كهرب466
كهرب-466,-
كهرب-471,-
كهرب-491,-
كهرش-031, حاكر012 حاكر013 
كهرش-032,-
كهرش-042,كهرب014
كهرش-043,كهرب014
كهرش-051,-
كهرش-052,-
كهرش-053,كهرش051
كهرش-054,كهرش052
كهرش-061,-
كهرش-071,كهرش043
كهرش-072,كهرش043
كهرش-081,-
كهرش-083,-
كهرش-084,-
كهرش-085,-
كهرش-087,-
كهرش-088,-
كهرش-091,-
كهرش-098,-
كهرص-011,كهرب014
كهرص-021,كهرب014
كهرص-022,كهرص021
كهرص-031,كهرب014
كهرص-032,كهرص031
كهرص-041,كهرب014
كهرص-042,كهرب014
كهرص-051, حاكر013 كهرب014 
كهرص-071,كهرص041
كهرص-072,كهرص042
كهرص-081,-
كهرص-082, كهرب014 كهرص021 
كهرص-084,-
كهرص-086,-
كهرص-087,-
كهرص-088,-
كهرص-091,-
كهرص-098,-
كهرط-124,-
كهرط-125,مبرد112
كهرط-230,فيزي121
كهرط-245,-
كهرط-246,-
كهرط-247,فيزي121
كهرط-288,جميع مقررات الخطة
كهرط-299,جميع مقررات الخطة
كهرق-151,كهرب111
كهرق-233,كهرب232
كهرق-252,كهرب111
كهرق-253,كهرق151
كهرق-261,كهرب122
كهرق-262,كهرب122
كهرق-263,كهرق261
كهرق-264,كهرب232
كهرق-265,كهرب232
كهرق-288,جميع مقررات الخطة
كهرق-299,جميع مقررات الخطة
كيمي-101,-
كيمي-111,-
كيمي-112,كيمي111
لحام-011,ميكا041
لحام-012, ميكا041 ميكا043 
لحام-013,لحام011
لحام-014,ميكا042
لحام-022,ميكا011
لحام-023,-
لحام-055,-
لحام-065,-
لحام-075,-
لحام-085,-
لحام-091,-
لحام-095,-
لحام-098,-
لوجس-101,-
لوجس-102,لوجس101
لوجس-103,لوجس101
لوجس-131,-
لوجس-132,-
لوجس-211,-
لوجس-212,-
لوجس-221,لوجس103
لوجس-222,لوجس103
لوجس-223,محسب101
لوجس-233,-
لوجس-234,-
لوجس-235,-
لوجس-241,ادار101
لوجس-242,حاسب101
لوجس-243,-
لوجس-288,جميع مقررات الخطة
لوجس-299,جميع مقررات الخطة
ماهر-001,-
ماهر-002,-
ماهر-003,-
ماهر-004,-
مبرد-011,-
مبرد-012,مهني003
مبرد-021,مبرد011
مبرد-022,مبرد011
مبرد-023,مبرد022
مبرد-031,مبرد011
مبرد-032,مبرد011
مبرد-033,مبرد011
مبرد-034,-
مبرد-035,مبرد031
مبرد-036,مبرد032
مبرد-037,مبرد033
مبرد-038,مبرد031
مبرد-055,-
مبرد-065,-
مبرد-066,-
مبرد-075,-
مبرد-076,-
مبرد-077,-
مبرد-085,-
مبرد-086,-
مبرد-087,-
مبرد-091,-
مبرد-098,-
مبرد-101,-
مبرد-102,-
مبرد-111,-
مبرد-112,-
مبرد-113,-
مبرد-121,مبرد112
مبرد-122,مبرد112
مبرد-131,مبرد113
مبرد-141,-
مبرد-203,مبرد121
مبرد-204,مبرد233
مبرد-232,مبرد121
مبرد-233,مبرد122
مبرد-234,مبرد131
مبرد-242,مبرد141
مبرد-243, حاسب101 مبرد122 
مبرد-261,مبرد233
مبرد-271, مبرد233 مبرد232 
مبرد-288,جميع مقررات الخطة
مبرد-299,جميع مقررات الخطة
مبرد-311,-
مبرد-312,-
مبرد-313,-
مبرد-331,-
مبرد-335,مبرد311
مبرد-342,-
مبرد-433,رياض302
مبرد-434,مبرد313
مبرد-436,مبرد311 مبرد312 مبرد313
مبرد-437,-
مبرد-441,مبرد312 مبرد434 مبرد433
مبرد-443,مبرد342
مبرد-461,-
مبرد-462,مبرد311 مبرد312 مبرد313
مبرد-463,مبرد311 مبرد312 مبرد313
مبرد-471,مبرد335 مبرد434
مبرد-482,مبرد471
مبرد-483,مبرد311
مبرد-484,مبرد311
مبرد-491,-
مبرد-492, مبرد311 مبرد312 مبرد313 
متحك-011,ميكا021 ميكا022
متحك-012, ميكا023 ميكا024 
متحك-013,متحك011
متحك-014,متحك011
متحك-015,متحك012
متحك-016,متحك012
متحك-031,-
متحك-032,متحك031
متحك-091,-
متحك-093,-
متحك-094,-
متحك-095,-
متحك-096,-
متحك-098,-
متمر-101,-
متمر-111,-
متمر-115,-
متمر-116,متمر115
متمر-121,-
متمر-131,-
متمر-222,متمر121
متمر-223,متمر121
متمر-242,مكمر141
متمر-251,-
متمر-252,-
متمر-261,متمر121
متمر-262,مكمر141
متمر-263, متمر262 متمر121 
متمر-264,متمر121
متمر-271,متمر115
متمر-281, متمر121 متمر262 
متمر-288,جميع مقررات الخطة
متمر-295,-
متمر-299,جميع مقررات الخطة
